Name,Latitude,Longitude
722-R01-FDT01-FAT01,36.85333647,42.97027151
722-R01-FDT01-FAT02,36.8548485,42.97835079
722-R01-FDT01-FAT03,36.85488868,42.97569528
722-R01-FDT01-FAT04,36.85437349,42.97490536
722-R01-FDT01-FAT05,36.85430298,42.9745437
722-R01-FDT01-FAT06,36.85369973,42.97347017
722-R01-FDT01-FAT07,36.85463668,42.97302021
722-R01-FDT01-FAT08,36.85583525,42.97277813
722-R01-FDT01-FAT09,36.85651792,42.97362447
722-R01-FDT01-FAT10,36.85677894,42.9736182
722-R01-FDT01-FAT11,36.85695315,42.97337147
722-R01-FDT01-FAT12,36.85482788,42.97239964
722-R01-FDT01-FAT13,36.85539585,42.97230156
722-R01-FDT01-FAT14,36.85469776,42.97088075
722-R01-FDT01-FAT15,36.8542003,42.97209403
722-R01-FDT01-FAT16,36.85396235,42.97200302
722-R01-FDT01-FAT17,36.85353044,42.97144762
722-R01-FDT01-FAT18,36.85314761,42.97222049
722-R01-FDT01-FAT19,36.85291679,42.9722519
722-R01-FDT01-FAT20,36.85265922,42.9718258
722-R01-FDT01-FAT21,36.85219339,42.9724921
722-R01-FDT01-FAT22,36.85176519,42.97273686
722-R01-FDT01-FAT23,36.85232253,42.97055868
722-R01-FDT01-FAT24,36.8519506,42.9705965
722-R01-FDT01-FAT25,36.85589496,42.97802897
722-R01-FDT01-FAT26,36.85635643,42.97771373
722-R01-FDT01-FAT27,36.85681947,42.97754686
722-R01-FDT01-FAT28,36.85702392,42.97685185
722-R01-FDT01-FAT29,36.85731225,42.97644629
722-R01-FDT01-FAT30,36.85733718,42.97642892
722-R01-FDT01-FAT31,36.85736368,42.97641254
722-R01-FDT01-FAT32,36.85717267,42.97614495
722-R01-FDT01-FAT33,36.8571976,42.97612759
722-R01-FDT01-FAT34,36.85722411,42.9761112
722-R01-FDT01-FAT35,36.85702427,42.97581948
722-R01-FDT01-FAT36,36.8570492,42.97580211
722-R01-FDT01-FAT37,36.85707571,42.97578572
722-R01-FDT01-FAT38,36.85688359,42.97551222
722-R01-FDT01-FAT39,36.85690853,42.97549485
722-R01-FDT01-FAT40,36.85693503,42.97547847
722-R01-FDT01-FAT41,36.85677412,42.97989124
722-R01-FDT01-FAT42,36.85630941,42.98016849
722-R01-FDT01-FAT43,36.85612131,42.98023291
722-R01-FDT01-FAT44,36.85582874,42.98037016
722-R01-FDT01-FAT45,36.85559377,42.98224897
722-R01-FDT01-FAT46,36.85620371,42.98336123
722-R01-FDT01-FAT47,36.85748583,42.98021007
722-R01-FDT01-FAT48,36.85820993,42.9796427
722-R01-FDT01-FAT49,36.85412791,42.97443022
722-R01-FDT03-FAT01,36.87232264,42.97167328
722-R01-FDT03-FAT02,36.87319784,42.97125601
722-R01-FDT03-FAT03,36.8737768,42.97069662
722-R01-FDT03-FAT04,36.87283766,42.97051709
722-R01-FDT03-FAT05,36.87176152,42.97044037
722-R01-FDT03-FAT06,36.87068649,42.97036971
722-R01-FDT03-FAT07,36.87413925,42.97013118
722-R01-FDT03-FAT08,36.87461167,42.96939659
722-R01-FDT03-FAT09,36.87510432,42.96941036
722-R01-FDT03-FAT10,36.87460652,42.97062766
722-R01-FDT03-FAT11,36.87507164,42.97066169
722-R01-FDT03-FAT12,36.87515929,42.97145
722-R01-FDT03-FAT13,36.8757123,42.9711073
722-R01-FDT03-FAT14,36.87558642,42.97183041
722-R01-FDT03-FAT15,36.87591396,42.97226642
722-R01-FDT03-FAT16,36.87541145,42.97286569
722-R01-FDT03-FAT17,36.87530902,42.97380432
722-R01-FDT03-FAT18,36.87534316,42.97425713
722-R01-FDT03-FAT19,36.87575379,42.97062981
722-R01-FDT03-FAT20,36.87512686,42.97000906
722-R01-FDT03-FAT21,36.87566746,42.97005782
722-R01-FDT03-FAT22,36.87580394,42.96937188
722-R01-FDT03-FAT23,36.87581025,42.96891073
722-R01-FDT03-FAT24,36.8753392,42.96818298
722-R01-FDT03-FAT25,36.87540235,42.967012
722-R01-FDT03-FAT26,36.87610635,42.96785194
722-R01-FDT03-FAT27,36.87261526,42.97231218
722-R01-FDT03-FAT28,36.87282585,42.97250964
722-R01-FDT03-FAT29,36.87361463,42.97202047
722-R01-FDT03-FAT30,36.8743222,42.97253824
722-R01-FDT03-FAT31,36.87481135,42.97286047
722-R01-FDT03-FAT32,36.8741031,42.97316488
722-R01-FDT03-FAT33,36.87452187,42.97350003
722-R01-FDT03-FAT34,36.87320514,42.97230633
722-R01-FDT03-FAT35,36.87327967,42.9719938
722-R01-FDT03-FAT36,36.87334871,42.97306172
722-R01-FDT03-FAT37,36.87376702,42.97341808
722-R01-FDT03-FAT38,36.87364823,42.97384694
